name,color,aroma,regions
Лилия,розовый,сильный,"['Австралия', 'Европа']"
Жасмин,фиолетовый,слабый,"['Азия', 'Южная Америка']"
Гиацинт,синий,умеренный,['Австралия']
Гиацинт,жёлтый,слабый,['Африка']
Тюльпан,жёлтый,умеренный,"['Северная Америка', 'Африка', 'Австралия']"
Гвоздика,жёлтый,слабый,"['Австралия', 'Азия']"
Лилия,красный,слабый,['Азия']
Пион,жёлтый,умеренный,['Азия']
Гвоздика,синий,сильный,"['Азия', 'Африка']"
Нарцисс,оранжевый,слабый,"['Австралия', 'Южная Америка', 'Азия']"
Гвоздика,жёлтый,сильный,['Австралия']
Бархатцы,белый,слабый,"['Азия', 'Южная Америка', 'Европа']"
Тюльпан,синий,слабый,"['Азия', 'Австралия', 'Южная Америка']"
Бархатцы,жёлтый,слабый,"['Африка', 'Южная Америка']"
Орхидея,оранжевый,сильный,"['Азия', 'Европа', 'Северная Америка']"
Маргаритка,зелёный,слабый,['Европа']
Лаванда,красный,слабый,"['Африка', 'Северная Америка', 'Южная Америка']"
Пион,розовый,слабый,['Европа']
Гвоздика,розовый,сильный,['Австралия']
Хризантема,жёлтый,слабый,"['Африка', 'Европа', 'Азия']"
Роза,белый,слабый,"['Азия', 'Северная Америка']"
Лаванда,красный,сильный,['Северная Америка']
Гиацинт,фиолетовый,слабый,['Австралия']
Лаванда,белый,умеренный,"['Австралия', 'Азия', 'Северная Америка']"
Бегония,фиолетовый,умеренный,"['Европа', 'Северная Америка', 'Австралия']"
Бегония,белый,слабый,['Северная Америка']
Гиацинт,жёлтый,слабый,"['Южная Америка', 'Азия']"
Гвоздика,белый,умеренный,['Европа']
Тюльпан,жёлтый,сильный,"['Южная Америка', 'Северная Америка']"
Лилия,фиолетовый,умеренный,['Северная Америка']
Роза,фиолетовый,умеренный,"['Азия', 'Австралия', 'Европа']"
Орхидея,оранжевый,сильный,"['Азия', 'Австралия']"
Лаванда,синий,слабый,"['Австралия', 'Северная Америка', 'Южная Америка']"
Жасмин,жёлтый,умеренный,['Австралия']
Нарцисс,жёлтый,умеренный,['Европа']
Орхидея,фиолетовый,слабый,['Азия']
Пион,красный,умеренный,"['Австралия', 'Европа', 'Северная Америка']"
Хризантема,белый,умеренный,"['Северная Америка', 'Южная Америка']"
Бегония,голубой,умеренный,['Африка']
Лилия,голубой,умеренный,['Австралия']
Лилия,оранжевый,сильный,"['Южная Америка', 'Австралия']"
Тюльпан,оранжевый,сильный,"['Европа', 'Африка']"
Маргаритка,розовый,сильный,"['Южная Америка', 'Европа', 'Азия']"
Орхидея,зелёный,умеренный,"['Северная Америка', 'Африка', 'Австралия']"
Нарцисс,красный,слабый,"['Африка', 'Европа', 'Южная Америка']"
Маргаритка,красный,сильный,"['Северная Америка', 'Европа']"
Тюльпан,голубой,сильный,['Европа']
Нарцисс,оранжевый,умеренный,['Южная Америка']
Тюльпан,оранжевый,сильный,"['Южная Америка', 'Северная Америка', 'Европа']"
Маргаритка,оранжевый,умеренный,['Европа']
Жасмин,фиолетовый,слабый,['Африка']
Гиацинт,белый,умеренный,"['Африка', 'Южная Америка']"
Хризантема,жёлтый,сильный,"['Южная Америка', 'Австралия']"
Пион,розовый,слабый,['Африка']
Пион,розовый,умеренный,"['Африка', 'Европа']"
Нарцисс,зелёный,слабый,"['Африка', 'Европа', 'Северная Америка']"
Гиацинт,голубой,слабый,['Южная Америка']
Хризантема,синий,умеренный,"['Австралия', 'Южная Америка', 'Азия']"
Маргаритка,жёлтый,умеренный,"['Южная Америка', 'Северная Америка', 'Австралия']"
Жасмин,фиолетовый,умеренный,"['Азия', 'Австралия']"
Лаванда,фиолетовый,умеренный,"['Южная Америка', 'Европа', 'Австралия']"
Маргаритка,голубой,умеренный,['Африка']
Маргаритка,синий,умеренный,['Северная Америка']
Роза,жёлтый,сильный,['Северная Америка']
Гиацинт,розовый,сильный,"['Северная Америка', 'Южная Америка']"
Жасмин,белый,умеренный,"['Северная Америка', 'Австралия']"
Роза,красный,слабый,"['Африка', 'Южная Америка', 'Европа']"
Лаванда,фиолетовый,слабый,"['Южная Америка', 'Африка']"
Роза,жёлтый,сильный,"['Африка', 'Южная Америка']"
Хризантема,фиолетовый,сильный,['Азия']
Орхидея,синий,сильный,"['Африка', 'Европа', 'Азия']"
Бегония,красный,слабый,"['Азия', 'Африка', 'Европа']"
Роза,красный,умеренный,"['Северная Америка', 'Европа', 'Азия']"
Лаванда,красный,сильный,"['Африка', 'Южная Америка']"
Хризантема,зелёный,слабый,"['Северная Америка', 'Австралия']"
Хризантема,синий,сильный,"['Австралия', 'Африка', 'Южная Америка']"
Нарцисс,розовый,слабый,"['Азия', 'Северная Америка', 'Африка']"
Лаванда,розовый,слабый,['Азия']
Бегония,зелёный,сильный,"['Северная Америка', 'Австралия', 'Азия']"
Жасмин,синий,слабый,['Южная Америка']
Маргаритка,фиолетовый,слабый,['Южная Америка']
Бархатцы,оранжевый,слабый,['Азия']
Гвоздика,голубой,умеренный,['Африка']
Гвоздика,синий,умеренный,"['Северная Америка', 'Южная Америка', 'Австралия']"
Бархатцы,розовый,слабый,"['Северная Америка', 'Европа', 'Африка']"
Бархатцы,жёлтый,слабый,"['Африка', 'Европа']"
Роза,оранжевый,слабый,['Азия']
Лаванда,розовый,слабый,"['Азия', 'Африка', 'Южная Америка']"
Лаванда,синий,слабый,['Азия']
Гвоздика,розовый,умеренный,"['Австралия', 'Азия']"
Роза,красный,сильный,"['Южная Америка', 'Австралия']"
Жасмин,оранжевый,сильный,"['Северная Америка', 'Азия']"
Гиацинт,зелёный,слабый,"['Африка', 'Азия']"
Орхидея,жёлтый,умеренный,['Африка']
Тюльпан,розовый,слабый,"['Австралия', 'Африка']"
Гиацинт,оранжевый,умеренный,"['Африка', 'Южная Америка', 'Европа']"
Маргаритка,фиолетовый,слабый,"['Азия', 'Европа', 'Австралия']"
Бархатцы,оранжевый,умеренный,"['Европа', 'Африка', 'Южная Америка']"
Роза,красный,умеренный,"['Европа', 'Азия']"
Бегония,зелёный,слабый,['Европа']
Маргаритка,жёлтый,слабый,['Европа']
Орхидея,оранжевый,сильный,['Азия']
Гиацинт,белый,сильный,"['Европа', 'Африка', 'Австралия']"
Орхидея,жёлтый,умеренный,"['Австралия', 'Северная Америка', 'Азия']"
Лаванда,оранжевый,слабый,"['Северная Америка', 'Европа']"
Нарцисс,голубой,слабый,"['Южная Америка', 'Европа']"
Роза,оранжевый,умеренный,['Южная Америка']
Лаванда,синий,сильный,"['Южная Америка', 'Африка', 'Северная Америка']"
Тюльпан,красный,сильный,"['Северная Америка', 'Австралия', 'Европа']"
Гвоздика,зелёный,умеренный,"['Азия', 'Австралия', 'Африка']"
Лилия,красный,умеренный,['Австралия']
Роза,синий,слабый,"['Северная Америка', 'Южная Америка', 'Азия']"
Тюльпан,розовый,сильный,['Северная Америка']
Жасмин,голубой,умеренный,['Африка']
Хризантема,голубой,сильный,"['Австралия', 'Азия', 'Африка']"
Роза,красный,слабый,['Австралия']
Бархатцы,зелёный,слабый,"['Африка', 'Южная Америка']"
Пион,розовый,умеренный,"['Европа', 'Азия']"
Гиацинт,зелёный,сильный,"['Северная Америка', 'Австралия']"
Лаванда,оранжевый,умеренный,['Южная Америка']
Лилия,жёлтый,умеренный,"['Австралия', 'Южная Америка', 'Северная Америка']"
Бархатцы,красный,умеренный,['Австралия']
Тюльпан,жёлтый,умеренный,['Азия']
Пион,оранжевый,умеренный,['Азия']
Гиацинт,синий,сильный,"['Южная Америка', 'Азия']"
Гиацинт,розовый,сильный,"['Австралия', 'Северная Америка', 'Южная Америка']"
Маргаритка,жёлтый,слабый,['Европа']
Нарцисс,зелёный,сильный,"['Австралия', 'Южная Америка']"
Пион,жёлтый,сильный,"['Африка', 'Европа', 'Азия']"
Пион,зелёный,умеренный,"['Африка', 'Австралия', 'Азия']"
Лилия,фиолетовый,слабый,"['Южная Америка', 'Австралия']"
Тюльпан,оранжевый,сильный,"['Северная Америка', 'Южная Америка']"
Жасмин,красный,умеренный,"['Европа', 'Южная Америка']"
Нарцисс,красный,слабый,"['Австралия', 'Северная Америка']"
Роза,синий,умеренный,"['Азия', 'Австралия', 'Южная Америка']"
Жасмин,синий,умеренный,['Австралия']
Тюльпан,оранжевый,умеренный,"['Европа', 'Австралия', 'Северная Америка']"
Пион,голубой,умеренный,['Европа']
Роза,красный,слабый,"['Южная Америка', 'Северная Америка']"
Орхидея,синий,слабый,"['Австралия', 'Азия']"
Маргаритка,голубой,умеренный,['Европа']
Бархатцы,зелёный,умеренный,"['Австралия', 'Азия', 'Африка']"
Лаванда,розовый,умеренный,['Африка']
Жасмин,оранжевый,слабый,"['Южная Америка', 'Азия', 'Африка']"
Бархатцы,оранжевый,сильный,['Африка']
Лилия,синий,сильный,"['Африка', 'Австралия', 'Азия']"
Роза,зелёный,сильный,"['Европа', 'Австралия', 'Азия']"
Хризантема,фиолетовый,сильный,['Европа']
Лилия,синий,слабый,"['Азия', 'Южная Америка']"
Жасмин,фиолетовый,слабый,"['Австралия', 'Южная Америка', 'Северная Америка']"
Жасмин,розовый,слабый,"['Европа', 'Австралия']"
