name,color,aroma,regions
Нарцисс,зелёный,слабый,"['Европа', 'Австралия', 'Азия']"
Орхидея,голубой,сильный,['Австралия']
Хризантема,жёлтый,слабый,"['Африка', 'Австралия', 'Азия']"
Хризантема,жёлтый,слабый,"['Северная Америка', 'Азия']"
Жасмин,зелёный,умеренный,"['Австралия', 'Европа', 'Южная Америка']"
Тюльпан,фиолетовый,слабый,['Африка']
Нарцисс,розовый,слабый,"['Европа', 'Австралия']"
Орхидея,голубой,умеренный,"['Австралия', 'Африка', 'Европа']"
Гиацинт,синий,сильный,"['Южная Америка', 'Австралия']"
Бархатцы,зелёный,слабый,"['Африка', 'Австралия', 'Европа']"
Хризантема,розовый,сильный,['Северная Америка']
Тюльпан,жёлтый,сильный,['Северная Америка']
Маргаритка,красный,умеренный,['Азия']
Лилия,красный,сильный,['Южная Америка']
Лаванда,розовый,слабый,"['Азия', 'Австралия', 'Северная Америка']"
Гиацинт,красный,слабый,['Африка']
Гвоздика,оранжевый,слабый,['Азия']
Бархатцы,оранжевый,слабый,"['Южная Америка', 'Азия']"
Пион,жёлтый,сильный,"['Азия', 'Северная Америка']"
Пион,красный,сильный,"['Австралия', 'Европа', 'Южная Америка']"
Бархатцы,синий,сильный,"['Африка', 'Северная Америка']"
Тюльпан,синий,сильный,"['Европа', 'Южная Америка']"
Тюльпан,зелёный,сильный,['Южная Америка']
Бархатцы,жёлтый,слабый,"['Австралия', 'Африка', 'Южная Америка']"
Бархатцы,оранжевый,сильный,"['Южная Америка', 'Европа', 'Северная Америка']"
Хризантема,розовый,слабый,"['Европа', 'Азия']"
Бархатцы,синий,сильный,"['Европа', 'Азия', 'Австралия']"
Роза,жёлтый,слабый,['Южная Америка']
Роза,белый,умеренный,"['Северная Америка', 'Европа', 'Южная Америка']"
Хризантема,жёлтый,умеренный,"['Северная Америка', 'Африка']"
Маргаритка,красный,умеренный,"['Азия', 'Северная Америка', 'Африка']"
Роза,красный,умеренный,"['Африка', 'Азия']"
Гиацинт,фиолетовый,умеренный,"['Африка', 'Австралия']"
Лилия,фиолетовый,слабый,"['Европа', 'Австралия', 'Южная Америка']"
Бегония,фиолетовый,сильный,['Северная Америка']
Пион,синий,умеренный,['Европа']
Нарцисс,голубой,сильный,['Азия']
Маргаритка,розовый,слабый,"['Южная Америка', 'Австралия', 'Азия']"
Маргаритка,красный,умеренный,"['Европа', 'Азия', 'Северная Америка']"
Жасмин,голубой,сильный,['Европа']
Гвоздика,белый,умеренный,"['Австралия', 'Африка', 'Северная Америка']"
Гиацинт,оранжевый,сильный,"['Азия', 'Северная Америка', 'Австралия']"
Гиацинт,зелёный,умеренный,"['Европа', 'Африка', 'Южная Америка']"
Тюльпан,жёлтый,умеренный,['Северная Америка']
Жасмин,фиолетовый,слабый,"['Северная Америка', 'Африка']"
Роза,синий,умеренный,"['Австралия', 'Южная Америка']"
Бархатцы,оранжевый,слабый,"['Европа', 'Южная Америка', 'Азия']"
Хризантема,синий,слабый,['Африка']
Пион,белый,умеренный,"['Северная Америка', 'Африка', 'Азия']"
Нарцисс,розовый,сильный,"['Азия', 'Южная Америка', 'Австралия']"
Бегония,голубой,слабый,"['Южная Америка', 'Северная Америка', 'Азия']"
Тюльпан,оранжевый,умеренный,['Австралия']
Хризантема,розовый,сильный,['Австралия']
Гиацинт,розовый,умеренный,"['Австралия', 'Северная Америка', 'Европа']"
Гвоздика,белый,умеренный,"['Европа', 'Австралия', 'Африка']"
Хризантема,голубой,сильный,"['Африка', 'Европа', 'Южная Америка']"
Гиацинт,фиолетовый,сильный,['Европа']
Тюльпан,жёлтый,слабый,['Австралия']
Нарцисс,красный,слабый,['Южная Америка']
Роза,красный,умеренный,"['Австралия', 'Европа']"
Гвоздика,розовый,умеренный,['Африка']
Орхидея,жёлтый,сильный,['Европа']
Бархатцы,зелёный,умеренный,"['Европа', 'Азия']"
Пион,красный,сильный,"['Азия', 'Австралия', 'Европа']"
Гиацинт,фиолетовый,умеренный,"['Африка', 'Южная Америка']"
Орхидея,розовый,сильный,"['Австралия', 'Азия', 'Северная Америка']"
Маргаритка,синий,сильный,"['Африка', 'Австралия']"
Орхидея,красный,сильный,"['Азия', 'Северная Америка', 'Южная Америка']"
Роза,оранжевый,слабый,"['Азия', 'Южная Америка', 'Австралия']"
Жасмин,голубой,слабый,"['Австралия', 'Южная Америка']"
Бегония,голубой,слабый,"['Северная Америка', 'Азия']"
Лаванда,голубой,сильный,"['Южная Америка', 'Северная Америка', 'Австралия']"
Пион,оранжевый,слабый,"['Африка', 'Европа']"
Гвоздика,красный,умеренный,"['Австралия', 'Северная Америка', 'Африка']"
Бархатцы,оранжевый,слабый,"['Азия', 'Африка', 'Европа']"
Лаванда,жёлтый,сильный,"['Австралия', 'Африка']"
Орхидея,красный,умеренный,['Австралия']
Роза,зелёный,сильный,['Северная Америка']
Лилия,оранжевый,слабый,['Северная Америка']
Нарцисс,розовый,сильный,['Северная Америка']
Гвоздика,белый,сильный,"['Южная Америка', 'Азия']"
Гвоздика,жёлтый,умеренный,"['Азия', 'Европа', 'Австралия']"
Роза,синий,сильный,"['Северная Америка', 'Европа', 'Азия']"
Бегония,зелёный,умеренный,"['Австралия', 'Азия', 'Европа']"
Орхидея,красный,слабый,"['Австралия', 'Северная Америка', 'Азия']"
Бархатцы,фиолетовый,умеренный,"['Северная Америка', 'Австралия', 'Европа']"
Бегония,синий,слабый,"['Африка', 'Европа', 'Северная Америка']"
Лилия,оранжевый,умеренный,"['Европа', 'Африка', 'Южная Америка']"
Орхидея,оранжевый,умеренный,"['Австралия', 'Азия', 'Европа']"
Тюльпан,жёлтый,слабый,['Австралия']
Пион,жёлтый,сильный,"['Австралия', 'Южная Америка']"
Орхидея,розовый,слабый,"['Африка', 'Азия']"
Маргаритка,розовый,слабый,"['Африка', 'Азия', 'Южная Америка']"
Бархатцы,жёлтый,умеренный,"['Северная Америка', 'Европа', 'Австралия']"
Нарцисс,оранжевый,сильный,"['Африка', 'Европа']"
Нарцисс,белый,слабый,"['Европа', 'Северная Америка']"
Хризантема,белый,сильный,"['Австралия', 'Северная Америка', 'Азия']"
