name,color,aroma,regions
Гвоздика,розовый,умеренный,"['Австралия', 'Южная Америка']"
Хризантема,зелёный,умеренный,"['Европа', 'Африка', 'Южная Америка']"
Жасмин,красный,умеренный,"['Африка', 'Северная Америка', 'Азия']"
Гиацинт,жёлтый,слабый,"['Южная Америка', 'Европа', 'Австралия']"
Бархатцы,зелёный,сильный,['Северная Америка']
Роза,фиолетовый,сильный,"['Северная Америка', 'Азия']"
Маргаритка,красный,сильный,"['Южная Америка', 'Австралия', 'Азия']"
Нарцисс,розовый,слабый,['Азия']
Лилия,розовый,слабый,"['Австралия', 'Европа', 'Азия']"
Орхидея,синий,сильный,"['Северная Америка', 'Азия']"
Нарцисс,синий,умеренный,['Южная Америка']
Пион,фиолетовый,сильный,['Азия']
Бегония,фиолетовый,умеренный,['Азия']
Хризантема,розовый,слабый,['Африка']
Нарцисс,жёлтый,слабый,"['Европа', 'Южная Америка']"
Маргаритка,фиолетовый,слабый,['Южная Америка']
Хризантема,оранжевый,сильный,['Азия']
Лаванда,розовый,слабый,"['Азия', 'Южная Америка', 'Африка']"
Гиацинт,голубой,слабый,['Австралия']
Орхидея,зелёный,сильный,"['Азия', 'Северная Америка']"
Гвоздика,голубой,сильный,"['Северная Америка', 'Азия', 'Южная Америка']"
Пион,жёлтый,умеренный,"['Южная Америка', 'Европа', 'Австралия']"
Пион,голубой,сильный,['Южная Америка']
Лаванда,оранжевый,умеренный,['Африка']
Бархатцы,фиолетовый,умеренный,['Африка']
Роза,оранжевый,умеренный,['Африка']
Орхидея,фиолетовый,слабый,['Южная Америка']
Маргаритка,синий,слабый,['Африка']
Жасмин,жёлтый,умеренный,"['Азия', 'Африка']"
Орхидея,розовый,слабый,['Африка']
Маргаритка,оранжевый,слабый,['Европа']
Пион,белый,сильный,"['Африка', 'Южная Америка', 'Северная Америка']"
Тюльпан,фиолетовый,сильный,"['Азия', 'Африка', 'Европа']"
Лаванда,зелёный,слабый,['Европа']
Лаванда,белый,слабый,"['Австралия', 'Африка', 'Азия']"
Орхидея,красный,слабый,['Европа']
Орхидея,синий,умеренный,['Азия']
Нарцисс,фиолетовый,сильный,"['Южная Америка', 'Африка', 'Азия']"
Тюльпан,жёлтый,сильный,['Северная Америка']
Хризантема,голубой,сильный,['Азия']
Лилия,зелёный,умеренный,['Африка']
Маргаритка,красный,сильный,"['Европа', 'Австралия', 'Азия']"
Орхидея,жёлтый,сильный,['Азия']
Лаванда,голубой,слабый,['Африка']
Жасмин,красный,умеренный,"['Северная Америка', 'Австралия']"
Орхидея,розовый,сильный,"['Африка', 'Австралия']"
Жасмин,красный,сильный,"['Австралия', 'Северная Америка']"
Маргаритка,синий,слабый,"['Азия', 'Северная Америка']"
Нарцисс,красный,умеренный,"['Северная Америка', 'Африка', 'Европа']"
Лаванда,красный,умеренный,"['Европа', 'Азия']"
Роза,розовый,сильный,['Европа']
Бархатцы,зелёный,слабый,"['Азия', 'Австралия', 'Африка']"
Гвоздика,жёлтый,умеренный,['Австралия']
Лилия,зелёный,сильный,"['Азия', 'Европа']"
Гиацинт,белый,слабый,['Австралия']
Жасмин,голубой,умеренный,"['Азия', 'Африка']"
Нарцисс,синий,умеренный,"['Африка', 'Южная Америка', 'Азия']"
Бархатцы,розовый,умеренный,"['Европа', 'Австралия']"
Бегония,розовый,умеренный,['Южная Америка']
Бархатцы,синий,умеренный,"['Африка', 'Австралия', 'Южная Америка']"
Жасмин,розовый,слабый,['Африка']
Гиацинт,белый,слабый,"['Австралия', 'Азия', 'Европа']"
Лаванда,фиолетовый,умеренный,"['Европа', 'Австралия', 'Северная Америка']"
Роза,оранжевый,сильный,"['Европа', 'Африка']"
Роза,синий,умеренный,"['Австралия', 'Европа', 'Северная Америка']"
Роза,голубой,умеренный,['Северная Америка']
Гвоздика,оранжевый,сильный,"['Южная Америка', 'Австралия', 'Африка']"
Жасмин,зелёный,сильный,"['Северная Америка', 'Южная Америка', 'Азия']"
Тюльпан,синий,слабый,"['Европа', 'Африка', 'Австралия']"
Лилия,жёлтый,слабый,"['Африка', 'Северная Америка', 'Европа']"
Пион,красный,слабый,"['Северная Америка', 'Южная Америка', 'Австралия']"
Бархатцы,голубой,умеренный,"['Южная Америка', 'Северная Америка']"
Нарцисс,синий,сильный,['Азия']
Хризантема,розовый,слабый,['Австралия']
Орхидея,оранжевый,умеренный,"['Северная Америка', 'Африка', 'Южная Америка']"
Гвоздика,красный,умеренный,['Южная Америка']
Бархатцы,оранжевый,умеренный,"['Южная Америка', 'Европа', 'Северная Америка']"
Роза,жёлтый,умеренный,"['Африка', 'Австралия']"
Роза,синий,сильный,['Африка']
Бархатцы,розовый,слабый,"['Африка', 'Южная Америка', 'Австралия']"
Бегония,зелёный,слабый,"['Африка', 'Австралия']"
Нарцисс,голубой,слабый,['Австралия']
Бархатцы,фиолетовый,сильный,['Северная Америка']
Хризантема,фиолетовый,умеренный,"['Азия', 'Южная Америка', 'Северная Америка']"
Бархатцы,голубой,умеренный,"['Европа', 'Азия']"
Орхидея,розовый,слабый,['Южная Америка']
Жасмин,фиолетовый,слабый,['Северная Америка']
Тюльпан,оранжевый,сильный,"['Европа', 'Австралия', 'Азия']"
Лаванда,голубой,умеренный,['Европа']
Пион,оранжевый,сильный,['Австралия']
Роза,красный,слабый,"['Африка', 'Азия', 'Австралия']"
Жасмин,розовый,умеренный,['Северная Америка']
Бархатцы,розовый,слабый,"['Азия', 'Европа']"
Пион,красный,умеренный,['Австралия']
Бархатцы,розовый,сильный,"['Южная Америка', 'Австралия']"
Пион,красный,умеренный,"['Южная Америка', 'Азия', 'Европа']"
Орхидея,голубой,умеренный,"['Азия', 'Африка']"
Пион,голубой,сильный,"['Европа', 'Австралия', 'Южная Америка']"
Лилия,фиолетовый,сильный,"['Южная Америка', 'Азия', 'Северная Америка']"
Роза,голубой,умеренный,"['Африка', 'Южная Америка']"
Нарцисс,фиолетовый,слабый,"['Южная Америка', 'Северная Америка']"
Лаванда,голубой,умеренный,"['Африка', 'Европа']"
Тюльпан,розовый,сильный,['Северная Америка']
Лаванда,розовый,слабый,['Северная Америка']
Лилия,зелёный,сильный,['Южная Америка']
Бегония,жёлтый,сильный,"['Австралия', 'Африка']"
Тюльпан,красный,слабый,"['Европа', 'Австралия']"
Пион,красный,умеренный,"['Южная Америка', 'Европа', 'Северная Америка']"
Гвоздика,розовый,умеренный,"['Европа', 'Азия']"
Лилия,голубой,сильный,"['Африка', 'Австралия']"
Тюльпан,зелёный,сильный,"['Южная Америка', 'Европа', 'Азия']"
Роза,голубой,умеренный,['Австралия']
Хризантема,фиолетовый,сильный,"['Европа', 'Австралия']"
Жасмин,синий,умеренный,['Азия']
Хризантема,голубой,слабый,['Австралия']
Гиацинт,розовый,сильный,"['Южная Америка', 'Европа', 'Азия']"
Орхидея,жёлтый,умеренный,['Южная Америка']
Лилия,фиолетовый,слабый,"['Северная Америка', 'Австралия', 'Африка']"
Лаванда,розовый,слабый,['Азия']
Бегония,белый,сильный,"['Африка', 'Европа']"
Хризантема,синий,умеренный,"['Австралия', 'Северная Америка']"
Маргаритка,голубой,сильный,"['Европа', 'Африка']"
Роза,фиолетовый,слабый,"['Европа', 'Азия']"
Пион,жёлтый,слабый,['Северная Америка']
Бегония,голубой,сильный,"['Австралия', 'Азия', 'Северная Америка']"
Бегония,красный,сильный,['Северная Америка']
Бархатцы,белый,слабый,"['Австралия', 'Южная Америка', 'Азия']"
Роза,голубой,слабый,['Австралия']
Гвоздика,фиолетовый,умеренный,"['Азия', 'Африка', 'Южная Америка']"
Гиацинт,красный,сильный,"['Африка', 'Европа']"
Гвоздика,зелёный,слабый,"['Южная Америка', 'Северная Америка', 'Европа']"
Жасмин,голубой,слабый,"['Азия', 'Европа', 'Африка']"
Пион,зелёный,сильный,"['Африка', 'Северная Америка', 'Южная Америка']"
Роза,фиолетовый,умеренный,['Австралия']
Лилия,белый,слабый,"['Австралия', 'Южная Америка', 'Азия']"
Хризантема,зелёный,слабый,['Африка']
Орхидея,синий,сильный,"['Африка', 'Южная Америка', 'Азия']"
Гвоздика,оранжевый,слабый,['Австралия']
Хризантема,зелёный,слабый,"['Южная Америка', 'Австралия']"
Лилия,жёлтый,сильный,"['Африка', 'Северная Америка']"
Нарцисс,красный,слабый,"['Австралия', 'Азия', 'Европа']"
