name,color,aroma,regions
Гиацинт,оранжевый,сильный,['Африка']
Роза,зелёный,слабый,"['Австралия', 'Европа']"
Жасмин,розовый,слабый,"['Азия', 'Африка']"
Бегония,красный,сильный,"['Африка', 'Азия', 'Южная Америка']"
Бегония,белый,умеренный,"['Южная Америка', 'Европа']"
Маргаритка,белый,слабый,['Южная Америка']
Бархатцы,белый,сильный,"['Южная Америка', 'Азия']"
Нарцисс,жёлтый,слабый,"['Северная Америка', 'Европа', 'Южная Америка']"
Хризантема,белый,умеренный,['Азия']
Тюльпан,фиолетовый,сильный,['Африка']
Тюльпан,жёлтый,умеренный,"['Азия', 'Европа']"
Нарцисс,белый,сильный,"['Европа', 'Азия']"
Жасмин,фиолетовый,сильный,"['Африка', 'Австралия']"
Маргаритка,розовый,сильный,['Северная Америка']
Роза,розовый,сильный,"['Южная Америка', 'Африка']"
Бархатцы,красный,умеренный,"['Африка', 'Австралия', 'Европа']"
Гиацинт,белый,слабый,"['Европа', 'Азия']"
Жасмин,оранжевый,умеренный,"['Европа', 'Африка']"
Роза,жёлтый,умеренный,"['Европа', 'Азия', 'Австралия']"
Лилия,жёлтый,сильный,"['Европа', 'Азия', 'Южная Америка']"
Гвоздика,синий,умеренный,"['Северная Америка', 'Европа', 'Южная Америка']"
Роза,зелёный,сильный,"['Азия', 'Северная Америка']"
Тюльпан,голубой,сильный,"['Южная Америка', 'Австралия']"
Маргаритка,синий,слабый,"['Африка', 'Северная Америка']"
Лилия,голубой,слабый,['Южная Америка']
Орхидея,голубой,слабый,['Африка']
Бархатцы,фиолетовый,сильный,"['Австралия', 'Европа', 'Южная Америка']"
Бархатцы,фиолетовый,умеренный,"['Южная Америка', 'Африка']"
Орхидея,голубой,сильный,"['Европа', 'Африка', 'Азия']"
Лилия,синий,умеренный,"['Южная Америка', 'Австралия', 'Европа']"
Гиацинт,жёлтый,умеренный,['Северная Америка']
Роза,оранжевый,умеренный,"['Северная Америка', 'Африка']"
Гвоздика,зелёный,сильный,['Азия']
Бегония,оранжевый,сильный,"['Северная Америка', 'Африка', 'Европа']"
Нарцисс,жёлтый,слабый,['Африка']
Нарцисс,зелёный,сильный,"['Европа', 'Австралия', 'Африка']"
Лилия,фиолетовый,сильный,"['Африка', 'Азия']"
Хризантема,синий,сильный,"['Южная Америка', 'Австралия']"
Жасмин,розовый,сильный,"['Европа', 'Южная Америка']"
Гвоздика,зелёный,умеренный,['Северная Америка']
Маргаритка,розовый,слабый,"['Европа', 'Австралия', 'Африка']"
Бархатцы,белый,сильный,['Южная Америка']
Нарцисс,зелёный,сильный,"['Северная Америка', 'Африка']"
Гвоздика,белый,умеренный,"['Северная Америка', 'Южная Америка']"
Маргаритка,белый,сильный,"['Австралия', 'Европа', 'Азия']"
Лаванда,оранжевый,умеренный,"['Азия', 'Южная Америка', 'Австралия']"
Роза,розовый,умеренный,"['Азия', 'Африка', 'Австралия']"
Бегония,фиолетовый,сильный,['Европа']
Лаванда,голубой,умеренный,['Европа']
Гиацинт,голубой,слабый,"['Африка', 'Австралия', 'Северная Америка']"
Хризантема,оранжевый,умеренный,"['Южная Америка', 'Африка', 'Азия']"
Гвоздика,оранжевый,сильный,"['Австралия', 'Европа', 'Африка']"
Жасмин,розовый,сильный,"['Африка', 'Северная Америка']"
Бегония,красный,умеренный,['Африка']
Бархатцы,голубой,умеренный,"['Северная Америка', 'Африка', 'Азия']"
Хризантема,жёлтый,слабый,['Северная Америка']
Лаванда,белый,слабый,['Европа']
Лаванда,жёлтый,сильный,['Африка']
Орхидея,голубой,слабый,"['Северная Америка', 'Австралия', 'Европа']"
Роза,синий,сильный,"['Южная Америка', 'Азия']"
Пион,голубой,слабый,"['Южная Америка', 'Европа']"
Бегония,белый,умеренный,"['Австралия', 'Африка', 'Южная Америка']"
Пион,зелёный,слабый,"['Азия', 'Северная Америка', 'Африка']"
Бегония,голубой,умеренный,['Африка']
Лаванда,оранжевый,сильный,"['Южная Америка', 'Азия', 'Европа']"
Тюльпан,синий,слабый,"['Азия', 'Европа', 'Африка']"
Маргаритка,белый,умеренный,"['Южная Америка', 'Европа']"
Гвоздика,оранжевый,слабый,"['Южная Америка', 'Европа', 'Северная Америка']"
Нарцисс,зелёный,умеренный,"['Северная Америка', 'Австралия', 'Южная Америка']"
Нарцисс,оранжевый,слабый,"['Азия', 'Австралия', 'Южная Америка']"
Бархатцы,розовый,слабый,"['Азия', 'Северная Америка', 'Африка']"
Лаванда,жёлтый,слабый,['Северная Америка']
Нарцисс,голубой,умеренный,"['Европа', 'Африка']"
Маргаритка,белый,слабый,"['Австралия', 'Африка']"
Пион,фиолетовый,умеренный,['Африка']
Лилия,фиолетовый,слабый,"['Европа', 'Австралия', 'Южная Америка']"
Бархатцы,розовый,слабый,['Австралия']
Гвоздика,белый,умеренный,"['Африка', 'Азия', 'Южная Америка']"
Орхидея,жёлтый,сильный,"['Австралия', 'Южная Америка']"
Пион,красный,умеренный,"['Австралия', 'Южная Америка']"
Бегония,жёлтый,слабый,"['Европа', 'Южная Америка']"
